person	personLabel	SALproposedLabel	SALproposed	SALsignatorypersonalLabel	SALsignatorypersonal	SALsignatorygeneralLabel	SALsignatorygeneral	RAIproposed	RAIproposedLabel	RAIseconded	RAIsecondedLabel	date
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Edward Thurlow Leeds	https://beyond-notability.wikibase.cloud/entity/Q104							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Charles Francis Bell	https://beyond-notability.wikibase.cloud/entity/Q134							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Robin George Collingwood	https://beyond-notability.wikibase.cloud/entity/Q135							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Mortimer Wheeler	https://beyond-notability.wikibase.cloud/entity/Q136							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Alfred William Clapham	https://beyond-notability.wikibase.cloud/entity/Q137							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	William Page	https://beyond-notability.wikibase.cloud/entity/Q138							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	John Linton Myres	https://beyond-notability.wikibase.cloud/entity/Q45							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	David George Hogarth	https://beyond-notability.wikibase.cloud/entity/Q64							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Joscelyn Plunket Bushe-Fox	https://beyond-notability.wikibase.cloud/entity/Q99							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	Joseph Cox Bridge	https://beyond-notability.wikibase.cloud/entity/Q1786							1924-03-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q76	Rachael Poole	Charles John Holmes	https://beyond-notability.wikibase.cloud/entity/Q140	Edward Thurlow Leeds	https://beyond-notability.wikibase.cloud/entity/Q104							1925-02-04T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q76	Rachael Poole	Charles John Holmes	https://beyond-notability.wikibase.cloud/entity/Q140	Margerie Venables Taylor	https://beyond-notability.wikibase.cloud/entity/Q133							1925-02-04T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q76	Rachael Poole	Charles John Holmes	https://beyond-notability.wikibase.cloud/entity/Q140	Charles Francis Bell	https://beyond-notability.wikibase.cloud/entity/Q134							1925-02-04T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q76	Rachael Poole	Charles John Holmes	https://beyond-notability.wikibase.cloud/entity/Q140	William Henry Quarrell	https://beyond-notability.wikibase.cloud/entity/Q141							1925-02-04T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q76	Rachael Poole	Charles John Holmes	https://beyond-notability.wikibase.cloud/entity/Q140	Emery Walker	https://beyond-notability.wikibase.cloud/entity/Q142							1925-02-04T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q76	Rachael Poole	Charles John Holmes	https://beyond-notability.wikibase.cloud/entity/Q140	Claude Jenkins	https://beyond-notability.wikibase.cloud/entity/Q143							1925-02-04T00:00:00Z
